id,gameNumber,teamNumber,isHome,oppTeamNumber,isWin,isOT,gameDayNumber,gameStartNumber,teamPoints,oppTeamPoints,teamWins,teamLosses,teamStreakCode,isInSeasonTournament,year,spread,spreadOdds,overUnder,overUnderOdds,moneyLine,gameTimeActual,spreadCalculated,overUnderCalculated,spreadActual,overUnderActual,date
20922,2,9,0,8,0,0,6,16,82,97,0,2,98,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20923,2,9,0,2,0,0,5,15,106,130,1,1,99,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20924,2,9,0,13,1,0,5,14,111,99,1,1,101,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30022,3,0,0,26,1,0,0,14,107,97,1,2,101,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30023,3,0,0,10,1,0,6,14,126,120,3,0,103,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30024,3,0,0,14,1,0,1,14,126,107,3,0,103,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30122,3,1,0,16,1,0,0,14,115,103,2,1,101,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30123,3,1,1,29,0,0,6,12,105,114,0,3,97,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30124,3,1,1,19,1,0,0,15,126,98,2,1,102,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30222,3,2,1,10,0,0,0,14,104,110,2,1,99,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30223,3,2,1,10,1,0,1,15,115,102,2,1,102,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30224,3,2,0,27,0,0,6,14,87,96,1,2,99,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30322,3,3,1,13,0,0,0,8,95,111,1,2,99,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30323,3,3,0,28,0,0,1,16,124,134,1,2,99,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30324,3,3,0,13,1,0,1,14,133,121,1,2,101,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30422,3,4,1,25,0,0,6,15,95,103,1,2,99,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30423,3,4,0,11,0,0,6,16,109,112,1,2,98,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30424,3,4,1,1,0,0,6,15,107,114,1,2,98,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30522,3,5,0,29,1,0,6,17,121,111,2,1,101,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30523,3,5,1,3,1,0,3,15,110,99,3,0,103,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30524,3,5,1,11,1,0,1,16,122,114,2,1,101,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30622,3,6,1,11,1,1,6,14,102,91,1,2,101,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30623,3,6,1,9,1,0,6,14,124,115,1,2,101,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30624,3,6,1,8,0,0,1,14,105,112,2,1,99,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30722,3,7,1,12,1,0,6,12,101,95,1,2,101,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30723,3,7,1,14,1,1,0,14,117,107,2,1,102,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30724,3,7,1,6,0,0,6,15,113,125,1,2,98,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30822,3,8,1,9,1,0,6,16,97,82,3,0,103,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30823,3,8,1,7,0,0,6,16,96,128,1,2,98,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30824,3,8,0,9,0,0,6,14,102,118,1,2,99,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30922,3,9,0,12,0,0,1,15,104,122,0,3,97,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30923,3,9,0,6,0,0,6,14,115,124,1,2,98,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30924,3,9,1,8,1,0,6,14,118,102,2,1,102,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40022,4,0,0,13,1,1,1,14,140,129,2,2,102,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40023,4,0,0,8,0,0,1,16,102,120,3,1,99,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40024,4,0,1,6,1,0,3,15,155,104,4,0,104,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40122,4,1,0,2,0,0,2,15,99,112,2,2,99,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40123,4,1,1,6,1,0,1,14,120,106,1,3,101,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40124,4,1,1,4,1,0,4,14,114,99,3,1,103,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40222,4,2,1,1,1,0,2,15,112,99,3,1,101,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40223,4,2,1,13,1,1,3,15,134,131,3,1,103,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40224,4,2,0,7,1,0,2,15,109,91,2,2,101,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40322,4,3,1,14,1,0,1,15,104,90,2,2,101,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40323,4,3,0,5,0,0,3,15,99,110,1,3,98,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40324,4,3,0,11,1,0,3,15,109,105,2,2,102,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40422,4,4,1,8,0,0,1,15,108,111,1,3,98,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40423,4,4,0,11,1,0,1,15,98,90,2,2,101,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40424,4,4,1,19,0,0,1,15,91,99,1,3,97,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40522,4,5,0,6,1,0,1,14,119,109,3,1,102,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40523,4,5,1,2,1,0,5,16,119,108,4,0,104,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40524,4,5,0,4,0,0,3,14,111,130,2,2,99,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40622,4,6,1,5,0,0,1,14,109,119,1,3,99,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40623,4,6,0,1,0,0,1,14,106,120,1,3,99,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40624,4,6,0,0,0,0,3,15,104,155,2,2,98,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40722,4,7,0,17,1,0,1,18,99,87,2,2,102,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40723,4,7,1,10,1,0,3,14,103,92,3,1,103,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40724,4,7,1,2,0,0,2,15,91,109,1,3,97,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40822,4,8,0,4,1,0,1,15,111,108,4,0,104,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40823,4,8,1,0,1,0,1,16,120,102,2,2,101,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40824,4,8,0,6,1,0,1,14,112,105,2,2,101,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40922,4,9,0,1,0,0,4,14,102,110,0,4,96,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40923,4,9,0,14,0,0,2,14,99,120,1,3,97,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40924,4,9,0,16,0,0,1,16,112,124,2,2,99,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50022,5,0,1,14,0,0,3,15,107,116,2,3,99,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50023,5,0,1,7,0,1,5,15,123,132,3,2,98,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50024,5,0,0,3,1,0,6,16,124,114,5,0,105,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50122,5,1,1,9,1,0,4,14,110,102,3,2,101,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50123,5,1,0,4,0,0,3,15,109,119,1,4,99,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50124,5,1,1,20,1,0,6,2,112,100,4,1,104,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50222,5,2,0,8,1,0,4,16,104,103,4,1,102,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50223,5,2,0,5,0,0,5,16,108,119,3,2,99,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50224,5,2,1,7,0,0,3,15,89,95,2,3,99,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50322,5,3,1,11,0,0,3,15,93,106,2,3,99,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50323,5,3,1,25,0,1,4,15,125,129,1,4,97,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50324,5,3,0,8,1,0,5,16,109,107,3,2,103,1,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50422,5,4,1,6,1,0,3,15,118,100,2,3,101,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50423,5,4,1,1,1,0,3,15,119,109,3,2,102,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50424,5,4,1,5,1,0,3,14,130,111,2,3,101,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50522,5,5,1,15,0,0,3,16,108,113,3,2,99,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50523,5,5,1,12,1,0,6,16,123,115,5,0,105,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50524,5,5,1,2,1,0,5,15,110,105,3,2,101,1,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50622,5,6,0,4,0,0,3,15,100,118,1,4,98,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50623,5,6,0,8,0,0,3,16,109,124,1,4,98,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50624,5,6,1,7,1,0,5,14,121,116,3,2,101,1,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50722,5,7,0,24,1,0,3,21,92,79,3,2,103,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50723,5,7,0,0,1,1,5,15,132,123,4,1,104,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50724,5,7,0,2,1,0,3,15,95,89,2,3,101,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50822,5,8,1,2,0,0,4,16,103,104,4,1,99,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50823,5,8,1,6,1,0,3,16,124,109,3,2,102,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50824,5,8,0,25,0,0,3,17,105,114,2,3,99,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50922,5,9,1,10,1,0,6,14,110,103,1,4,101,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50923,5,9,1,12,0,0,3,14,113,118,1,4,96,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
50924,5,9,1,19,0,0,3,14,101,110,2,3,98,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60022,6,0,0,14,0,0,6,10,112,115,2,4,98,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60023,6,0,1,14,1,0,0,12,112,94,4,2,101,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60024,6,0,0,15,0,1,1,16,109,114,5,1,99,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60122,6,1,1,12,1,0,6,15,122,94,4,2,102,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60123,6,1,0,4,1,0,5,15,112,90,2,4,101,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60124,6,1,1,14,1,0,1,14,146,128,5,1,105,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60222,6,2,0,27,1,0,6,14,123,117,5,1,103,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60223,6,2,0,7,0,0,0,12,108,121,3,3,98,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60224,6,2,0,5,0,0,5,15,105,110,2,4,98,1,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60322,6,3,1,6,1,0,5,15,105,98,3,3,101,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60323,6,3,1,6,0,0,6,15,116,125,1,5,96,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60324,6,3,1,0,0,0,6,16,114,124,3,3,99,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60422,6,4,1,10,1,0,5,14,110,109,3,3,102,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60423,6,4,1,1,0,0,5,15,90,112,3,3,99,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60424,6,4,0,1,0,0,4,14,99,114,2,4,99,0,2024,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60522,6,5,1,29,0,0,6,16,93,102,3,3,98,0,2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60523,6,5,1,9,1,0,1,16,110,108,6,0,106,0,2023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
